Title,Director,Rating,Synopsis,Release Date,Runtime
Forrest Gump,Robert Zemeckis,8.50 out of 10,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","June 23, 1994",2h 22m
Full Metal Jacket,Stanley Kubrick,8.13 out of 10,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"June 26, 1987",1h 57m
Gabriel's Inferno,Tosca Musk,8.41 out of 10,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.","May 29, 2020",2h 2m
Gabriel's Inferno: Part II,Tosca Musk,8.39 out of 10,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?","July 31, 2020",1h 45m
Gabriel's Inferno: Part III,Tosca Musk,8.40 out of 10,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,"November 19, 2020",1h 45m
Given,Hikaru Yamaguchi,8.27 out of 10,"The relationship between a band's bassist, their drummer, and the drummer’s roommate and ex-boyfriend, who is a professional violinist.","August 22, 2020",1h 0m
Gladiator,Ridley Scott,8.20 out of 10,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.","May 04, 2000",2h 35m
Good Will Hunting,Gus Van Sant,8.20 out of 10,"When professors discover that an aimless janitor is also a math genius, a therapist helps the young man confront the demons that are holding him back.","December 05, 1997",2h 7m
GoodFellas,Martin Scorsese,8.46 out of 10,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.","September 12, 1990",2h 25m
Grave of the Fireflies,Isao Takahata,8.50 out of 10,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.","April 16, 1988",1h 29m
Green Book,Peter Farrelly,8.20 out of 10,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.","November 16, 2018",2h 10m
Green Snake,Amp Wong,8.20 out of 10,"While trying to free her sister from Fahai's clutches, Xiao Qing winds up in a dystopian city and meets a mysterious man who can't recall his past life.","July 23, 2021",2h 11m
Guillermo del Toro's Pinocchio,Mark Gustafson,8.09 out of 10,"During the rise of fascism in Mussolini's Italy, a wooden boy brought magically to life struggles to live up to his father's expectations.","November 09, 2022",1h 57m
Hachi: A Dog's Tale,Lasse Hallström,8.00 out of 10,A drama based on the true story of a college professor's bond with the abandoned dog he takes into his home.,"June 08, 2009",1h 33m
Hacksaw Ridge,Mel Gibson,8.20 out of 10,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.","October 07, 2016",2h 19m
Hamilton,Thomas Kail,8.18 out of 10,"Presenting the tale of American founding father Alexander Hamilton, this filmed version of the original Broadway smash hit is the story of America then, told by America now.","July 03, 2020",2h 40m
Harakiri,Masaki Kobayashi,8.40 out of 10,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.","September 15, 1962",2h 15m
Harry Potter and the Deathly Hallows: Part 2,David Yates,8.09 out of 10,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.","July 12, 2011",2h 10m
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,8.00 out of 10,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.","May 31, 2004",2h 21m
Hidden Figures,Theodore Melfi,8.06 out of 10,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.","December 10, 2016",2h 7m
High and Low,Akira Kurosawa,8.30 out of 10,"In the midst of an attempt to take over his company, a powerhouse executive is hit with a huge ransom demand when his chauffeur's son is kidnapped by mistake.","March 01, 1963",2h 22m
Hope,Lee Joon-ik,8.38 out of 10,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.","October 02, 2013",2h 2m
Hotarubi no Mori e,Takahiro Omori,8.30 out of 10,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...","September 17, 2011",0h 45m
How to Train Your Dragon: Homecoming,Tim Johnson,8.10 out of 10,"It's been ten years since the dragons moved to the Hidden World, and even though Toothless doesn't live in New Berk anymore, Hiccup continues the holiday traditions he once shared with his best friend. But the Vikings of New Berk were beginning to forget about their friendship with dragons. Hiccup, Astrid, and Gobber know just what to do to keep the dragons in the villagers' hearts. And across the sea, the dragons have a plan of their own...","December 03, 2019",0h 22m
Howl's Moving Castle,Hayao Miyazaki,8.40 out of 10,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.","September 09, 2004",1h 59m
I Want to Eat Your Pancreas,Shinichiro Ushijima,8.20 out of 10,"After his classmate and crush is diagnosed with a pancreatic disease, an average high schooler sets out to make the most of her final days.","September 01, 2018",1h 48m
Ikiru,Akira Kurosawa,8.30 out of 10,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.","October 09, 1952",2h 23m
